TXA_ITIS,TXA_Level,TXA_Name,TXA_Binomial,TXA_Parent,TXA_Author,TXA_Year,TXA_CAAB,USER,TXA_Time,TXA_Group,TXA_ReleaseDate,TXA_ExpReleaseDate,TXA_Created_At,TXA_Updated_At,TXA_WoRMsID,TXA_ProfileStatus,created,created_by,updated,updated_by
-1138,143,pseudoargus,Doris pseudoargus,78207,Rapp 1827,NA,NA,NA,NA,Mollusks-Nudibranchs,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1137,142,Duvaucelia,NA,78471,Risso 1826,NA,NA,NA,NA,Mollusks-Nudibranchs,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1135,143,sp.,Gnorimosphaeroma sp.,-236,Wetzer et al. 2021,NA,NA,NA,NA,Crustaceans-Isopods,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1134,143,archaia,Ascidia archaia,159174,Sluiter 8901,NA,NA,NA,NA,Tunicates,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1133,142,Heterogen,NA,70304,"E. von Martens, 1861",NA,NA,NA,NA,Mollusks-Gastropods,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1132,142,Heterogen,NA,70304,"E. von Martens, 1861",NA,NA,NA,NA,Mollusks-Gastropods,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1131,143,test2,Carcinus test2,98733,Myself 2022,NA,NA,NA,NA,Crustaceans-Crabs,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1130,142,Ocinebrellus,NA,73236,,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1129,143,sp.,Hydrocoleum sp.,865,Donelan et al. 2021,NA,NA,NA,NA,Algae,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1127,140,Microcoleaceae,NA,602,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1123,143,tahitiensis,Hippopodina tahitiensis,-1014,Leca and d’Hondt,1993,NA,NA,NA,Bryozoans,2021-11-15,2021-11-15,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1122,143,inaudita,Celleporaria inaudita,-998,"Tilbrook, Hayward and Gordon",2001,NA,NA,NA,Bryozoans,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1121,143,klugei,Beania klugei,-1120,Cook,1968,NA,NA,NA,Bryozoans,2021-11-04,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1120,142,Beania,NA,-1119,Johnston 1840,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1119,140,Beaniidae,NA,155799,Canu and Bassler,1927,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1117,143,triangularis,Teredo triangularis,81861,Edmondson,1942,NA,NA,NA,Bivalves,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1116,143,aristatus,Leiosolenus aristatus,79451,Dillwyn,1817,NA,NA,NA,Mollusks-Bivalves,2021-11-02,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1115,142,Leiosolenus,NA,79451,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1113,143,brasiliensis,Hecamede brasiliensis,146893,Cresson,1938,NA,NA,NA,Arthropoda-Insects,2021-10-27,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1112,143,uncinata,Clasiopella uncinata,-1111,Hendel,1914,NA,NA,NA,Arthropoda-Insects,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1111,142,Clasiopella,NA,NA,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1109,142,Hecamede,NA,146893,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1107,143,monotrema,Anoplodactylus monotrema,-1106,Stock,1979,NA,NA,NA,Arthropoda-Pycognonid,2021-10-22,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1106,142,Anoplodactylus,NA,-1105,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1105,140,Phoxichilidiidae,NA,-1104,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1104,136,Pantopoda,NA,-1103,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1103,133,Pycnogonida,NA,82696,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1101,143,crassum,Cardisoma crassum,-1100,Smith,1870,NA,NA,NA,Crustaceans-Crabs,2021-10-20,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1100,142,Cardsioma,NA,99126,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1099,143, schizogenica,Pseudobranchiomma schizogenica,-1098,Tovar-Hernández & Dean,NA,NA,NA,NA,Annelids-Polychaetes,2021-01-19,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1098,142,Pseudobranchiomma,NA,68076,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1097,143,oxydentata,Obelia oxydentata,-1096,Stechow,1914,NA,NA,NA,Cnidarians-Hydrozoans,2021-10-14,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1096,142,Obelia,NA,-1081,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1095,143,lighti,Nemalecium lighti,-1094,Hargitt 1924,NA,NA,NA,NA,Cnidarians-Hydrozoans,2021-10-14,2021-10-14,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1094,142,Nemalecium,NA,-1093,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1093,140,Haleciidae,NA,48739,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1092,143,alternata,Halopteris alternata,-1091,Nutting 1900,NA,NA,NA,NA,Cnidarians-Hydrozoans,2021-10-14,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1091,142,Halopteris,NA,-1090,NA,NA,NA,NA,NA,Cnidarians-Hydrozoans,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1090,140,Halopterididae,NA,48739,NA,NA,NA,NA,NA,Cnidarians-Hydrozoans,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1089,140,Halopterididae,NA,48739,NA,NA,NA,NA,NA,Cnidarians-Hydrozoans,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1088,140,Campulinidae,NA,48739,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1087,143,humilis,Egmundella humilis,-1084,Fraser,1936,NA,NA,NA,Cnidarians-Hydrozoans,2021-10-14,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
