TXA_ITIS,TXA_Level,TXA_Name,TXA_Binomial,TXA_Parent,TXA_Author,TXA_Year,TXA_CAAB,USER,TXA_Time,TXA_Group,TXA_ReleaseDate,TXA_ExpReleaseDate,TXA_Created_At,TXA_Updated_At,TXA_WoRMsID,TXA_ProfileStatus,created,created_by,updated,updated_by
-1084,142,Egmundella,NA,-1081,NA,NA,NA,NA,NA,Cnidarians-Hydrozoans,2099-10-14,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1083,143,delicatula,Clytia delicatula,-1082,Thornley,1900,NA,NA,NA,Cnidarians-Hydrozoans,2021-10-12,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1082,142,Clytia,NA,-1081,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1081,140,Campanulariidae,NA,718926,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1074,142,NA,NA,-1073,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1073,143,tylostyla,Lissodendoryx tylostyla,-1070,Li,1986,NA,NA,NA,Sponges,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1071,142,Lissodendoryx,NA,-1070,Topsent,1892,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1070,140,Coelosphaeridae,NA,-1069,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1069,140,Coelosphaeridae,NA,47862,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1068,142,Lissodendoryx,NA,-1067,Topsent 1892,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1067,140,Coelosphaeridae,NA,47862,NA,NA,NA,NA,NA,NA,2099-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1066,143,zeteki,Bankia zeteki,81833,Bartsch,1921,NA,NA,NA,Mollusks-Bivalves,2021-11-02,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1065,143,major,Upogebia major,98207,de Haan,1841,NA,NA,NA,Crustaceans-Shrimp,2021-11-02,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1063,143,achaeta,Pseudopolydora achaeta,66926,"Radashevsky & Hsieh, 2000",2000,NA,NA,NA,Annelids-Polychaetes,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1061,143,wilsoni,Sabellaria wilsoni,67669,Lana & Gruet,1989,NA,NA,NA,Annelids-Polychaetes,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1059,143,carpintis,Herichthys carpintis,-614,Jordan and Snyder,1899,NA,NA,NA,Fishes,2099-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1055,142,NA,NA,-1054,NA,NA,NA,NA,NA,Crustaceans-Barnacles,2040-01-01,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1054,143,prolifera,Caulerpa prolifera,6963,(Forsskål) J.V. Lamouroux,1809,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1051,143,SF1,Branchiomma SF1,-654,NA,NA,NA,NA,NA,Annelids-Polychaetes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1047,143,cf. foliolata,Bugulina cf. foliolata,-693,"Vieira, Winston & Fehlauer-Ale",2012,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1045,143,subatra,Watersipora subatra,-97,Ortman n.stat.,1890,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1043,143,citrina,Amathia citrina,155575,Hincks,1877,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1042,143,robustus,Stephos robustus,85711,Ohtsuka & Hiromi,1987,NA,NA,NA,Crustaceans-Copepods,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1040,140,Chaenopsidae,NA,167640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1039,143,hepatus,Paracanthurus hepatus,-1038,Linnaeus,1766,NA,NA,NA,Fishes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1038,142,Paracanthurus,NA,172250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1037,143,anomala,Hemimysis anomala,-1036,G.O. Sars,1907,NA,NA,NA,Crustaceans-Mysids,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1036,142,Hemimysis,NA,89856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1035,143,eruptaurantia,Aiptasiogeton eruptaurantia,-1034,Field,1949,NA,NA,NA,Cnidarians-Anthozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1034,142,Aiptasiogeton,NA,52768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1032,142,Cipangopaludina,NA,70304,Hannibal,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1031,142,Magallana,NA,79866,Thunberg,1793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1028,143,pallida,Exaiptasia pallida,-1004,Agassiz in Verrill 1864,1864,NA,NA,NA,Cnidarians-Anthozoans,2021-01-01,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1027,142,Exaiptasia,NA,52768," Grajales & Rodríguez,",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1025,142,Exaiptasia,NA,-1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1020,142,Ocinebrellus,NA,-1019,NA,NA,NA,NA,NA,Mollusks-Gastropods,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1017,143,websteri,Polydora websteri,66789,Hartman in Loosanoff & Engle,1943,NA,NA,NA,Annelids-Polychaetes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1016,143,iririkiensis,Hippopodina iririkiensis,-1014,Tilbrook,1999,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1014,142,Hippopodina,NA,-1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1013,140,Hippopodinidae,NA,156192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1011,137,Flustrina,NA,155799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1009,143,dichotoma,Amathia dichotoma,155575,Verrill and Smith,1874,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1007,142,Leptosiphonia,NA,13439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1006,142,Ruditapes,NA,81439,Chiamenti 1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1004,142,Exaiptasia,NA,-1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-1003,142,Limecola,NA,81032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-999,143,brunnea,Celleporaria brunnea,-998,Hincks,1884,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-998,142,Celleporaria,NA,-997,Lamouroux,1821,NA,NA,NA,Bryozoans,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-997,140,Lepraliellidae,NA,156192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-995,143,sawayai,Nolella sawayai,155535,Marcus,1938,NA,NA,NA,Bryozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-994,143,fullo,Parasabella fullo,-993,Grube,1878,NA,NA,NA,Annelids-Polychaetes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-993,142,Parasabella,NA,68076,Bush,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-992,143,durvillei,Padina durvillei,-991,Bory,1827,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-991,142,Padina,NA,11149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-989,143,adamsi,Mytliopsis adamsi,81333,NA,NA,NA,NA,NA,NA,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-988,143,sallei,Mytilopsis sallei,81333,Recluz,1849,NA,NA,NA,Mollusks-Bivalves,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-986,323,Juxtacribrilina,NA,-943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-985,143,subulata,Agardhiella subulata,-984, C. Agardh,1822,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-984,142,Agardhiella,NA,-981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-983,140,Solieraceae,NA,11868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-981,140,Soleriaceae,NA,11868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-980,143,capensis,Niambia capensis,-979,Dolfus,1895,NA,NA,NA,Crustaceans-Isopods,2016-06-20,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-979,142,Niambia,NA,-977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-977,140,Platyarthridae,NA,331642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-975,142,Koinostylochus,NA,54169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-971,142,Durusdinium,NA,-968,LaJeunesse 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-968,140,Symbiodiniaceae,NA,-967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-967,136,Suessiales,NA,-951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-963,140,Symbiodiniaceae,NA,-951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-960,143,simulans,Codium simulans,6896,Setchell & N.L.Gardner,1924,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-959,143, trenchii,Durusdinium trenchii,-968,LaJeunesse,2014,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-958,143,siderea,Siderastrea siderea,-957,"Ellis & Solander, 1786)",NA,NA,NA,NA,Cnidarians-Anthozoans,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-957,142,Siderastrea,NA,-956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-956,140,Siderastreidae,NA,52839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-955,143,trenchii,Symbiodinium trenchii,-954,LaJeunesse in LaJeunesse et al. 2014,NA,NA,NA,NA,Algae,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-954,142, Symbiodinium,NA,-953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-953,140,Symbiodiniaceae,NA,-967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-951,133,Dinophyceae,NA,-949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-949,131,Miozoa,NA,590735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-948,133,Conoidasida,NA,-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-947,136,Capitellida,NA,64358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-944,143,mutabilis,Cribrilina mutabilis,-943,"Ito, Onishi, and Dick 2015",2015,NA,NA,NA,Bryozoans,2019-09-10,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-943,142,Cribrilina,NA,-941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-942,140,Cribrilinidae,NA,155799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-941,140,Cribrilinidae,NA,155799,NA,NA,NA,NA,NA,Bryozoans,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-940,143,maculatus,Xiphophorus maculatus,165919,Gunther,1866,NA,NA,NA,Fishes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-939,143,onagawaensis,Polydora onagawaensis,66789,"Abe, Nishitani & Endo",2013,NA,NA,NA,Annelids-Polychaetes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-937,142,Symphyocladia,NA,13439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-936,143,caeruleum,Etheostoma caeruleum,168357,Storer,1845,NA,NA,NA,Fishes,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-935,143,saturejae,Holocranum saturejae,-934,Kolenati),NA,NA,NA,NA,Arthropoda-Insects,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-934,142,Holocranum,NA,107674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-929,143,tulipa,Eualetes tulipa,-928,Rousseau in Chenu,1843,NA,NA,NA,Mollusks-Gastropods,2040-01-01,NA,NA,NA,NA,Started,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-928,142,Eualetes,NA,-821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-927,143,mirabilis,Ophiothela mirabilis,-926,Verrill 1867,NA,NA,NA,NA,Echinoderms,2021-01-01,NA,NA,NA,NA,Approved,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-926,142,Ophiothela,NA,-925,NA,NA,NA,NA,NA,Echinoderms,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
-925,140,Ophiotrichidae,NA,-924,NA,NA,NA,NA,NA,Echinoderms,NA,NA,NA,NA,NA,NA,2023-11-16 10:42:11,NA,2023-11-16 10:42:11,NA
